period;odr;GDP, real, LCU;Consumer price index;Unemployment rate;Exchange rate, period average;Exchange rate, period average;Share price index;House price index;Commercial Property Price Index;Interest rate, short-term;Interest rate, 1-year government bond yields [%];Interest rate, 5-year government bond yields [%];Interest rate, 10 year government bonds;Corporate borrowing rate, period average
2010 Q1;0,017112573;6,08225965;3,648899;7,407443;9256,187;6597,895074;95,1687;2,538147;2,25540185;7,046818;5,7042165;6,9851835;9,499;13,65667
2010 Q2;0,019263491;6,7574296;4,38252831;7,273293;9110,967;6549,469485;56,0408821;2,89391756;2,25540185;6,946328;5,7042165;6,9851835;8,814;13,28333
2010 Q3;0,019949834;6,176201;6,164387;7,139754;8997,26;6631,885348;35,8826523;2,92668176;2,25540185;6,950505;5,7042165;6,9851835;7,907477;13,13333
2010 Q4;0,020437874;6,491662;6,324231;7,047658;8963,773;6877,39754;48,05185;2,906846;2,25540185;6,749617;5,441333;6,240567;7,415341;12,93333
2011 Q1;0,018056175;6,476976;6,82412243;6,958544;8903,354;6966,265462;34,21057;4,47951365;2,25540185;6,721094;5,713233;7,854466;8,503289;12,59667
2011 Q2;0,017519119;6,268445;5,880177;7,213352;8590,273;6927,455156;33,36128;4,529639;2,25540185;7,116282;5,696833;6,919267;7,571408;12,26
2011 Q3;0,015265949;6,01314831;4,64949;7,477659;8593,89;7012,369312;25,131012;4,537756;2,25540185;6,755748;4,4081;6,377234;7,021614;12,48
2011 Q4;0,01500675;5,942384;4,10530663;6,90963;8985,42;6975,353351;1,78633964;5,049403;2,25540185;5,58826;4,846633;5,639266;6,313923;12,27667
2012 Q1;0,015985338;6,110088;3,66638541;6,368283;9086,207;7187,317671;12,7831917;3,59314919;2,25540185;4,542298;3,515367;4,918533;5,599308;12,04
2012 Q2;0,015739821;6,20783949;4,36506128;6,09324;9295,373;7353,352583;6,00177956;3,68193531;2,25540185;4,390843;4,046333;5,291533;6,175923;11,81
2012 Q3;0,015846123;5,940006;4,04343176;6,128399;9492,877;7610,332003;5,617517;4,24917126;2,25540185;4,844907;4,5321;5,3857;5,884846;11,73667
2012 Q4;0,017129561;5,87064457;3,85111046;5,786449;9615,896;7862,335685;16,24439;6,76418734;2,25540185;4,915874;4,471367;5,0859;5,500303;11,59333
2013 Q1;0,015345396;5,540909;4,484986;5,878761;9678,863;7819,831094;15,7742834;10,9997921;41,3093071;4,926586;4,051267;4,739833;5,25375;11,46
2013 Q2;0,017660377;5,588229;5,055922;5,721869;9782,167;7832,626311;22,8780518;12,1081829;33,67977;4,980363;3,999633;5,179567;5,784385;11,43667
2013 Q3;0,019616788;5,51586246;8,020719;6,166936;10666,16;8409,14538;8,359103;13,5054722;35,7108;6,311614;6,0402;7,4328;8,013106;11,69667
2013 Q4;0,021523692;5,584621;8,025402;5,672171;11551,52;9239,981538;1,22447455;11,5098524;26,6801319;7,450716;6,577667;7,450967;8,124015;12,03667
2014 Q1;0,022770599;5,11587048;7,76138163;5,703193;11754,55;9263,815672;-1,47368193;7,92406559;16,8200188;8,005569;6,8925;7,793033;8,40875;12,31
2014 Q2;0,022161721;4,937557;7,0894084;5,678075;11615,98;9271,030454;-0,8696027;7,401312;2,25540185;8,146017;6,3926;7,5162;7,885107;12,54667
2014 Q3;0,021450858;4,93183565;4,351618;5,944642;11777,6;9411,290896;14,9616823;6,52692175;0,9202666;8,133284;5,643867;7,865;8,100833;12,74667
2014 Q4;;5,047607;6,475817;5,87577;12251,86;9461,136848;16,3388481;6,28438044;-3,07905865;7,430964;5,603633;7,76215;7,977273;12,81667
2015 Q1;0,023089545;4,831231;6,543008;5,810349;12810,88;9445,461918;17,93457;6,269463;16,1945457;6,973557;5,669867;7,0511;7,291016;12,77333
2015 Q2;0,023776809;4,74027634;7,06503963;5,989905;13124;9768,75502;6,18985;5,949751;28,63596;6,904934;6,5109;7,7272;7,926384;12,72333
2015 Q3;0,02329673;4,77949953;7,0890975;6,178149;13871,13;9965,608162;-10,8895607;5,46175575;22,5974236;7,528091;7,181733;8,3385;8,671894;12,62333
2015 Q4;0,022578296;5,15264034;4,811796;5,832785;13769,01;9781,676048;-11,1063824;4,613524;23,6906147;8,417337;7,899533;8,752867;8,710308;12,53
2016 Q1;0,023024307;4,941521;4,335137;5,501737;13518,77;9622,81127;-12,1981754;4,151964;2,83030677;7,899241;7,074367;7,9383;8,120923;12,38
2016 Q2;0,02381685;5,21364164;3,46110344;5,553174;13309,23;9793,399558;-7,03877354;3,38865185;1,15285647;6,77841;6,2345;7,3412;7,606538;11,97667
2016 Q3;0,022534332;5,03458071;3,02476716;5,605525;13127,76;9706,528884;16,3996487;2,74582982;0,307977676;7,142886;5,970333;6,778033;6,968712;11,70667
2016 Q4;0,023292119;4,94142151;3,30255556;5,462142;13258,96;9404,631612;17,2222977;2,3786912;-0,173533753;7,061311;6,231767;7,3068;7,533923;11,49
2017 Q1;0,02330402;5,011569;3,64532852;5,325408;13339,97;9417,55736;14,7557917;2,62637234;-0,3758582;6,875491;6,458867;7,166033;7,454538;11,26333
2017 Q2;0,026526718;5,00984526;4,29160357;5,410327;13311,29;9562,021407;17,8118267;3,17402244;-0,300841331;6,864841;6,099933;6,682933;6,964231;11,15667
2017 Q3;0,028095269;5,06033468;3,806357;5,497555;13332,19;9798,037775;9,943698;3,317336;-0,2027522;6,197766;5,7116;6,4749;6,758077;11,04333
